Supplementary Materials: Binding data for rapamycin regulatory network																
ORF	Gene name	Description	Binding p-values													
			DAL80 Rapamycin	DAL81 Rapamycin	DAL82 Rapamycin	FHL1 Rapamycin	GCN4 Rapamycin	UGA3 Rapamycin	RTG1 Rapamycin	RTG3 Rapamycin	MSN2 Rapamycin	MSN4 Rapamycin	GAT1 Rapamycin	HAP2 Rapamycin	GLN3 Rapamycin	GZF3 Rapamycin
YDR487C	RIB3	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	0.882	0.791	0.837	0.512	0.63	0.459	0.69	0.658	0.549	0.597	0.746	0.642	0.644	0.47
YDR488C	PAC11	required in the absence of CIN8P	0.232	0.67	0.499	0.485	0.748	0.428	0.271	0.492	0.257	0.278	0.537	0.463	0.502	0.69
YDR489W	YDR489W	weak similarity to hypothetical protein S. pombe	0.232	0.67	0.499	0.485	0.748	0.428	0.271	0.492	0.257	0.278	0.537	0.463	0.502	0.69
YDR490C	PKH1	ser/thr protein kinases	0.731	0.232	0.747	0.783	0.295	0.909	0.933	0.732	0.824	0.902	0.669	0.903	0.556	0.975
YDR491C	YDR491C	questionable ORF	0.695	0.751	0.799	0.356	0.004	0.385	0.54	0.588	0.725	0.398	0.308	0.287	0.379	0.263
YDR492W	YDR492W	strong similarity to hypothetical protein YOL002c	0.731	0.232	0.747	0.783	0.295	0.909	0.933	0.732	0.824	0.902	0.669	0.903	0.556	0.975
YDR493W	YDR493W	similarity to hypothetical protein Neurospora crassa	0.695	0.751	0.799	0.356	0.004	0.385	0.54	0.588	0.725	0.398	0.308	0.287	0.379	0.263
YDR494W	YDR494W	weak similarity to hypothetical protein D. melanogaster	0.204	0.11	0.111	0.668	0.72	0.384	0.49	0.649	0.301	0.345	0.55	0.531	0.661	0.694
YDR495C	VPS3	vacuolar sorting protein	0.441	0.328	0.491	0.282	0.209	0.067	0.136	0.072	0.095	0.028	0.003	0.006	0.006	0.002
YDR496C	PUF6	similarity to hypothetical human and C.elegans proteins	0.409	0.153	0.363	0.086	0.198	0.017	0.242	0.071	0.082	0.086	0.017	0.019	0.026	0.029
YDR497C	ITR1	"myo-inositol permease, major"	0.718	0.63	0.488	0.446	0.002	0.533	0.582	0.532	0.76	0.709	0.372	0.364	0.458	0.684
YDR498C	SEC20	secretory pathway protein	0.305	0.356	0.165	0.319	0.385	0.088	0.398	0.493	0.178	0.368	0.291	0.258	0.358	0.645
YDR499W	LCD1	cell cycle checkpoint protein	0.305	0.356	0.165	0.319	0.385	0.088	0.398	0.493	0.178	0.368	0.291	0.258	0.358	0.645
YDR500C	RPL37B	ribosomal protein L.37.e	0.597	0.565	0.464	0.71	0.521	0.417	0.2	0.214	0.055	0.322	0.764	0.452	0.84	0.474
YDR501W	PLM2	PLasmid Maintenance mutant shows 2mu-m plasmid instability	0.597	0.565	0.464	0.71	0.521	0.417	0.2	0.214	0.055	0.322	0.764	0.452	0.84	0.474
YDR502C	SAM2	S-adenosylmethionine synthetase 2	0.258	0.408	0.496	0.091	NaN	0.388	0.798	0.789	0.397	0.699	0.606	0.412	0.569	0.588
YDR503C	LPP1	lipid phosphate phosphatase	0.181	0.328	0.178	0.162	0.346	0.031	0.021	0.061	0.035	0.088	0.036	0.131	0.071	0.05
YDR504C	YDR504C	similarity to hypothetical T.brucei protein	0.178	0.115	0.362	0.468	0.179	0.524	0.438	0.387	0.53	0.565	0.374	0.276	0.444	0.633
YDR505C	PSP1	high copy suppressor of ts mutations in DNA polymerase alpha	0.178	0.115	0.362	0.468	0.179	0.524	0.438	0.387	0.53	0.565	0.374	0.276	0.444	0.633
YDR506C	YDR506C	"similarity to FET3, YFL041w and F.floriforme diphenol oxidase"	0.969	0.87	0.901	0.913	0.182	0.822	0.846	0.805	0.858	0.88	0.715	0.717	0.688	0.923
YDR507C	GIN4	ser/thr protein kinase	0.251	0.325	0.012	0.295	0.553	0.121	0.25	0.493	0.451	0.163	0.388	0.667	0.396	0.478
YDR508C	GNP1	high-affinity glutamine permease	0.818	0	0.785	0.647	0.003	0.911	0.889	0.122	0.895	0.974	0.778	0.918	0.784	0.989
YDR509W	YDR509W	questionable ORF	0.251	0.325	0.012	0.295	0.553	0.121	0.25	0.493	0.451	0.163	0.388	0.667	0.396	0.478
YDR510W	SMT3	ubiquitin-like protein	0.818	0	0.785	0.647	0.003	0.911	0.889	0.122	0.895	0.974	0.778	0.918	0.784	0.989
YDR511W	ACN9	weak similarity to C. elegans protein F25H9.7 and to the human complement 3 precursor	0.865	0.795	0.897	0.902	0.639	0.355	0.742	0.899	0.768	0.588	0.755	0.717	0.708	0.907
YDR512C	YDR512C	questionable ORF	0.372	0.55	0.524	0.783	0.82	0.631	0.484	0.828	0.46	0.616	0.824	0.74	0.921	0.766
YDR513W	TTR1	glutaredoxin	NaN	0.05	0.481	0.729	0.439	0.737	0.795	0.487	0.425	0.845	0.63	0.471	0.595	0.926
YDR514C	YDR514C	strong similarity to hypothetical protein YCL036w	0.917	0.961	0.546	0.7	0.531	0.383	0.789	0.85	0.647	0.564	0.735	0.45	0.644	0.577
YDR515W	SLF1	La motif-containing proteins that modulate mRNA translation	0.917	0.961	0.546	0.7	0.531	0.383	0.789	0.85	0.647	0.564	0.735	0.45	0.644	0.577
YDR516C	YDR516C	strong similarity to glucokinase	0.408	0.563	0.748	0.396	0.672	0.736	0.766	0.936	0.572	0.838	0.578	0.631	0.888	0.939
YDR517W	GRH1	Yeast (GR)ASP65 (H)omologue	0.408	0.563	0.748	0.396	0.672	0.736	0.766	0.936	0.572	0.838	0.578	0.631	0.888	0.939
YDR518W	EUG1	protein disulfide isomerase	0.827	0.752	0.586	0.397	0.546	0.309	0.289	0.291	0.555	0.536	0.64	0.435	0.606	0.54
YDR519W	FKB2	FK506/rapamycin-binding protein of the ER	0.007	0.005	0.001	0.628	0.662	0.351	0.004	0	0.002	0.006	0.376	0.418	0.601	0.503
YDR520C	YDR520C	weak similarity to transcription factors of the zinc finger class	0.015	0.156	0.068	0.072	0.271	0.163	0.024	0.009	0.067	0.008	0.276	0.203	0.436	0.082
YDR521W	YDR521W	questionable ORF	0.834	0.662	0.783	0.291	0.735	0.225	0.471	0.594	0.695	0.646	0.388	0.431	0.562	0.349
YDR522C	SPS2	sporulation-specific protein	0.455	0.301	0.271	0.001	0.008	0	0.018	0.004	NaN	0.004	0	0	0	0.001
YDR523C	SPS1	ser/thr protein kinase	0.515	0.479	0.355	0.059	0.014	0.027	0.086	0.033	0.415	0.226	0.029	0.052	0.123	0.02
YDR524C	AGE1	similarity to ADP-ribosylation factor (ARF) GTPase activating protein (GAP) with effector functions	0.871	0.381	0.496	0.651	0.368	0.833	0.869	0.551	0.827	0.739	0.529	0.546	0.261	0.897
YDR525W	YDR525W	hypothetical protein	0.871	0.381	0.496	0.651	0.368	0.833	0.869	0.551	0.827	0.739	0.529	0.546	0.261	0.897
YDR525W-A	YDR525W-A	similarity to other hypothetical proteins in yeast	0.973	0.028	0.012	0.812	0.411	0.996	0.999	0.815	0.959	0.926	0.804	0.977	0.587	0.999
YDR526C	YDR526C	questionable ORF	0.141	0.373	0.418	0.024	0.314	0.525	0.061	0.059	0.181	0.074	0.621	0.584	0.64	0.503
YDR527W	YDR527W	weak similarity to Plasmodium yoelii rhoptry protein	0.879	0.498	0.614	0.316	0.004	0.618	0.666	0.232	0.757	0.604	0.514	0.47	0.342	0.803
YDR528W	HLR1	similarity to LRE1P	0.438	0.628	0.46	0.129	0.521	0.46	0.452	0.464	0.442	0.299	0.564	0.547	0.424	0.335
YDR529C	QCR7	ubiquinol--cytochrome-c reductase subunit 7	0.609	0.307	0.476	0.629	0.357	0.736	0.911	0.498	0.86	0.808	0.611	0.003	0.011	0.761
YDR530C	APA2	ATP adenylyltransferase II	0.573	0.762	0.706	0.597	0.017	0.643	0.364	0.074	0.554	0.586	0.804	0.703	0.49	0.53
YDR531W	YDR531W	similarity to hypothetical A. thaliana and C. elegans proteins	0.573	0.762	0.706	0.597	0.017	0.643	0.364	0.074	0.554	0.586	0.804	0.703	0.49	0.53
YDR532C	KRE28	weak similarity Plasmodium repeat organellar protein	0.254	0.257	0.379	0.607	0.787	0.676	0.38	0.556	0.301	0.595	0.47	0.366	0.567	0.409
YDR533C	YDR533C	"strong similarity to hypothetical proteins YPL280w, YOR391c and YMR322c"	0.306	0.554	0.495	0.384	0.013	0.526	0.542	0.6	0.409	0.567	0.462	0.638	0.228	0.258
YDR534C	FIT1	"similarity to YOR383c,Sta1p and pig mucin"	0.708	0.965	0.448	0.331	0.253	0.179	0.337	0.64	0.615	0.488	0.148	0.175	0.3	0.097
YDR535C	YDR535C	hypothetical protein	0.811	0.825	0.673	0.646	0.363	0.843	0.783	0.857	0.768	0.9	0.861	0.887	0.916	0.886
YDR536W	STL1	member of the sugar permease family	0.811	0.825	0.673	0.646	0.363	0.843	0.783	0.857	0.768	0.9	0.861	0.887	0.916	0.886
YDR537C	YDR537C	questionable ORF	0.583	0.669	0.189	0.352	0.155	0.165	0.249	0.458	0.438	0.535	0.346	0.414	0.387	0.337
YDR538W	PAD1	phenylacrylic acid decarboxylase	0.2	0.455	0.247	0.386	0.469	0.453	0.186	0.351	0.238	0.27	0.717	0.749	0.759	0.339
YDR539W	YDR539W	similarity to E.coli hypothetical 55.3 kDa protein in rfah-rfe intergenic region	0.583	0.669	0.189	0.352	0.155	0.165	0.249	0.458	0.438	0.535	0.346	0.414	0.387	0.337
YDR540C	YDR540C	similarity to E. coli unknown gene	0.72	0.729	0.278	0.44	0.034	0.353	0.453	0.306	0.697	0.685	0.106	0.41	0.196	0.705
YDR541C	YDR541C	similarity to dihydroflavonol-4-reductases	0.139	0.361	0.232	0.241	0.302	0.055	0.082	0.33	0.113	0.167	0.371	0.285	0.411	0.135
YDR542W	YDR542W	strong similarity to subtelomeric encoded proteins	0.368	0.903	0.49	0.631	0.621	0.223	0.544	0.837	0.632	0.549	0.853	0.845	0.749	0.162
YDR543C	YDR543C	strong similarity to subtelomeric encoded proteins	0.002	0.562	0.098	0.65	0.462	0.042	0.996	0.988	0.988	0.375	0.982	0.997	0.854	0.001
YDR544C	YDR544C	strong similarity to subtelomeric encoded proteins	0.001	0.555	0.008	0.193	0.028	0	0.988	0.987	0.962	0.117	0.931	0.995	0.65	0.001
YDR545W	YRF1-1	Y'-helicase protein 1	0.001	0.555	0.008	0.193	0.028	0	0.988	0.987	0.962	0.117	0.931	0.995	0.65	0.001
YEL001C	YEL001C	hypothetical protein	0.447	0.321	0.529	0.369	0.165	0.445	0.397	0.235	0.267	0.251	0.258	0.51	0.217	0.332
YEL002C	WBP1	oligosaccharyl transferase beta subunit precursor	0.099	0.037	0.03	0.271	0.119	0.021	0.066	0.121	0.029	0.039	0.034	0.009	0.023	NaN
YEL003W	GIM4	Gim complex component	0.342	0.267	0.078	0.267	0.422	0.241	0.082	0.091	0.146	0.068	0.211	0.313	0.133	0.226
YEL004W	YEA4	strong similarity to K.lactis golgi uridine diphosphate-N-acetylglucosamine transporter	0.159	0.054	0.141	0.244	0.222	NaN	0.124	0.382	0.185	0.096	0.332	0.24	0.431	0.437
YEL005C	VAB2	VAC8P binding protein of 31 kDa	0.159	0.054	0.141	0.244	0.222	NaN	0.124	0.382	0.185	0.096	0.332	0.24	0.431	0.437
YEL006W	YEL006W	similarity to peroxisomal membrane and mitochondrial carrier proteins	0.207	0.258	0.29	0.315	0.447	0.511	0.107	0.02	0.196	0.081	0.541	0.673	0.448	0.534
YEL007W	TOS9	similarity to S.pombe PAC2 protein	0.79	0.002	0.133	0.025	0.202	0.844	0.927	0.441	0.379	0.423	0.605	0.887	0.191	0.966
YEL008W	YEL008W	hypothetical protein	0.943	0.006	0.76	0	0.48	0.353	0.827	0.522	0.737	0.598	0.15	0	0	0.475
YEL009C	GCN4	transcriptional activator of amino acid biosynthetic genes	0.943	0.006	0.76	0	0.48	0.353	0.827	0.522	0.737	0.598	0.15	0	0	0.475
YEL010W	YEL010W	hypothetical protein	0.028	0.019	0.004	0.07	0.076	0.025	0	0	0	0	0.077	0.141	0.061	0.032
YEL011W	GLC3	"1,4-glucan branching enzyme (glycogen branching enzyme)"	0.492	0.815	0.907	0.895	0.762	0.974	0.899	0.885	0.918	0.819	0.938	0.942	0.926	0.933
YEL012W	UBC8	E2 ubiquitin-conjugating enzyme	0.696	0.517	0.551	0.683	0.928	0.901	0.501	0.646	0.667	0.497	0.4	0.3	0.368	0.685
YEL013W	VAC8	required for vacuole inheritance and protein targeting from the cytoplasm to vacuole	0.413	0.527	0.381	0.192	0.587	0.452	0.367	0.303	NaN	0.216	0.422	0.467	0.385	0.41
YEL014C	YEL014C	hypothetical protein	0.413	0.527	0.381	0.192	0.587	0.452	0.367	0.303	NaN	0.216	0.422	0.467	0.385	0.41
YEL015W	YEL015W	weak similarity to SPA2P	0.062	0.495	0.342	0.538	0.454	0.563	0.326	0.361	0.452	0.279	0.638	0.49	0.706	0.429
YEL016C	YEL016C	similarity to human nucleotide pyrophosphatase	0.062	0.495	0.342	0.538	0.454	0.563	0.326	0.361	0.452	0.279	0.638	0.49	0.706	0.429
YEL017C-A	PMP2	"H+-ATPase subunit, plasma membrane"	0.791	0.163	0.192	0.28	0.431	0.938	0.953	0.854	0.954	0.899	0.601	0.843	0.439	0.946
YEL017W	YEL017W	hypothetical protein	0.791	0.163	0.192	0.28	0.431	0.938	0.953	0.854	0.954	0.899	0.601	0.843	0.439	0.946
YEL018W	YEL018W	weak similarity to RAD50P	0.043	0.205	0.281	0.518	0.789	0.534	0.278	0.618	0.395	0.276	0.671	0.471	0.617	0.399
YEL019C	MMS21	DNA repair protein	0.043	0.205	0.281	0.518	0.789	0.534	0.278	0.618	0.395	0.276	0.671	0.471	0.617	0.399
YEL020C	YEL020C	similarity to O.formigenes oxalyl-CoA decarboxylase	0.493	0.894	0.809	0.457	0.697	0.46	0.391	0.829	0.476	0.53	0.859	0.885	0.848	0.761
YEL020W-A	TIM9	essential subunit of the TIM22-complex for mitochondrial protein import	0.242	0.225	0.456	0.453	0.627	0.168	0.305	0.671	0.162	0.142	0.355	0.432	0.321	0.321
YEL021W	URA3	orotidine-5'-phosphate decarboxylase	0.242	0.225	0.456	0.453	0.627	0.168	0.305	0.671	0.162	0.142	0.355	0.432	0.321	0.321
YEL022W	GEA2	GDP/GTP exchange factor for ARF	0.173	0.328	0.24	0.196	0.313	0.053	0.079	0.259	0.073	0.056	0.263	0.391	0.462	0.057
YEL023C	YEL023C	similarity to hypothetical protein PA2063 - Pseudomonas aeruginosa	0.173	0.328	0.24	0.196	0.313	0.053	0.079	0.259	0.073	0.056	0.263	0.391	0.462	0.057
YEL024W	RIP1	ubiquinol--cytochrome-c reductase iron-sulfur protein precursor	0.52	0.149	0.105	0.484	0.804	0.5	0.651	0.222	0.66	0.708	0.51	0.06	0.41	0.774
YEL025C	SRI1	hypothetical protein	0.52	0.149	0.105	0.484	0.804	0.5	0.651	0.222	0.66	0.708	0.51	0.06	0.41	0.774
YEL026W	SNU13	component of the U4/U6.U5 snRNP	0.557	0.245	0.481	0.193	0.605	0.129	0.435	0.657	0.442	0.504	0.051	0.167	0.051	0.291
YEL027W	CUP5	"H+-ATPase V0 domain 17 KD subunit, vacuolar"	0.913	0.717	0.88	0.333	0.349	0.232	0.783	0.67	0.692	0.549	0.34	0.405	0.256	0.66
YEL028W	YEL028W	hypothetical protein	0.179	0.142	0.182	0.356	0.211	0.101	0.169	0.207	0.138	0.214	0.273	0.398	0.481	0.52
YEL029C	BUD16	similarity to hypothetical protein YNR027w	0.179	0.142	0.182	0.356	0.211	0.101	0.169	0.207	0.138	0.214	0.273	0.398	0.481	0.52
YEL030W	ECM10	heat shock protein of HSP70 family	0.016	0.029	0.013	0.12	0.251	0.008	0.01	0.045	0.014	0.011	0.079	0.165	0.151	0.036
YEL031W	SPF1	P-type ATPase	0.435	0.662	0.671	0.816	0.296	0.367	0.401	0.397	0.449	0.499	0.428	0.352	0.492	0.417
YEL032W	MCM3	replication initiation protein	0.947	0.525	0.817	0.92	0.897	0.81	0.842	0.918	0.765	0.76	0.482	0.779	0.839	0.978
YEL033W	YEL033W	weak similarity to Sauroleishmania mitochondrial hypothetical ORF-5 protein	0.779	0.171	0.733	0.689	0.152	0.86	0.923	0.482	0.858	0.926	0.449	0.524	0.644	0.924
YEL034W	HYP2	translation initiation factor eIF5A.1	0.779	0.171	0.733	0.689	0.152	0.86	0.923	0.482	0.858	0.926	0.449	0.524	0.644	0.924
YEL035C	UTR5	weak similarity to Neisseria gonorrhoeae PilG protein	0.779	0.171	0.733	0.689	0.152	0.86	0.923	0.482	0.858	0.926	0.449	0.524	0.644	0.924
YEL036C	ANP1	required for protein glycosylation in the golgi	0.873	0.455	0.927	0.515	0.393	0.844	0.804	0.808	0.727	0.855	0.683	0.845	0.759	0.846
YEL037C	RAD23	nucleotide excision repair protein (ubiquitin-like protein)	0.439	0.579	0.704	0.722	0.877	0.557	0.472	0.738	0.465	0.411	0.558	0.497	0.742	0.588
YEL038W	UTR4	similarity to K.oxytoca enolase-phosphatase E-1	0.729	0.865	0.85	0.725	0.636	0.468	0.386	0.606	0.453	0.697	0.75	0.809	0.699	0.642
YEL039C	CYC7	cytochrome-c isoform 2	0.729	0.865	0.85	0.725	0.636	0.468	0.386	0.606	0.453	0.697	0.75	0.809	0.699	0.642
YEL040W	UTR2	cell wall protein	0.931	0.699	0.847	0.452	0.176	0.919	0.924	0.8	0.85	0.86	0.626	0.947	0.384	0.946
YEL041W	YEL041W	strong similarity to UTR1P	0.492	0.754	0.484	0.757	0.598	0.437	0.445	0.493	0.316	0.492	0.653	0.819	0.719	0.674
YEL042W	GDA1	guanosine diphosphatase	0.869	0.947	0.865	0.519	0.498	0.741	0.752	0.78	0.816	0.755	0.817	0.775	0.699	0.52
YEL043W	YEL043W	weak similarity to MAD1P	0.874	0.868	0.739	0.666	0.728	0.717	0.843	0.816	0.804	0.792	0.86	0.732	0.79	0.84
YEL044W	IES6	similarity to SPAC222.04c hypothetical protein S. pombe	0.987	NaN	0.146	0.734	0.02	0.986	0.978	0.634	0.934	0.954	0.834	0.95	0.749	0.993
YEL045C	YEL045C	weak similarity to cytochrome c oxidase III of T.brucei kinetoplast	0.987	NaN	0.146	0.734	0.02	0.986	0.978	0.634	0.934	0.954	0.834	0.95	0.749	0.993
YEL046C	GLY1	"L-threonine aldolase, low-specific"	0.987	NaN	0.146	0.734	0.02	0.986	0.978	0.634	0.934	0.954	0.834	0.95	0.749	0.993
YEL047C	FRDS1	"soluble fumarate reductase, cytoplasmic"	0.893	0.943	0.925	0.859	0.818	0.853	0.923	0.907	0.924	0.832	0.928	0.936	0.941	0.948
YEL048C	YEL048C	weak similarity to trp-asp repeat protein - S. pombe	0.364	NaN	0.284	0.354	0.575	0.428	0.13	0.095	0.05	0.131	0.267	0.267	0.392	0.12
YEL049W	PAU2	strong similarity to members of the SRP1P/TIP1P family	0.177	NaN	0.165	0.47	0.565	0.58	0.427	0.491	0.515	0.444	0.604	0.362	0.487	0.223
YEL050C	RML2	"ribosomal L2 protein, mitochondrial"	0.495	0.401	0.669	0.239	0.192	0.22	0.422	0.529	0.392	0.498	0.048	0.059	0.038	0.036
YEL051W	VMA8	"H+-ATPsynthase V1 domain 32 KD subunit, vacuolar"	0.276	0.438	0.624	0.604	0.003	0.975	0.73	0.732	0.537	0.871	0.816	0.803	0.853	0.624
YEL052W	AFG1	ATPase family gene	0.355	0.739	0.675	0.526	0.467	0.705	0.431	0.714	0.789	0.734	0.811	0.769	0.603	0.454
YEL053C	MAK10	glucose-repressible protein	0.355	0.739	0.675	0.526	0.467	0.705	0.431	0.714	0.789	0.734	0.811	0.769	0.603	0.454
YEL054C	RPL12A	60S large subunit ribosomal protein L12.e	0.567	0.9	0.864	0	0.914	0.923	0.978	0.983	0.972	0.951	0.935	0.898	0.893	0.711
YEL055C	POL5	DNA polymerase V	0.908	0.981	0.975	0.459	0.694	0.928	0.896	0.981	0.973	0.949	0.928	0.94	NaN	0.927
YEL056W	HAT2	subunit of the major yeast histone acetyltransferase	0.339	0.441	0.475	0.316	0.312	0.622	0.342	0.312	0.611	0.426	0.7	0.803	0.687	0.665
YEL057C	YEL057C	hypothetical protein	0.339	0.441	0.475	0.316	0.312	0.622	0.342	0.312	0.611	0.426	0.7	0.803	0.687	0.665
YEL058W	PCM1	phosphoacetylglucosamine mutase	0.415	0.08	0.442	0.312	0.157	0.669	0.909	0.468	0.618	0.717	0.469	0.736	0.129	0.945
YEL059C-A	SOM1	required for mitochondrial IMP1 peptidase function	0.415	0.08	0.442	0.312	0.157	0.669	0.909	0.468	0.618	0.717	0.469	0.736	0.129	0.945
YEL059W	YEL059W	hypothetical protein	0.862	0.024	0.28	0.569	0.463	0.609	0.974	0.482	0.856	0.772	0.071	0.318	0.019	0.947
YEL060C	PRB1	"protease B, vacuolar"	0.862	0.024	0.28	0.569	0.463	0.609	0.974	0.482	0.856	0.772	0.071	0.318	0.019	0.947
YEL061C	CIN8	kinesin-related protein	0.556	0.225	0.477	0.078	0.239	0.038	0.543	0.254	0.542	0.413	0.155	0.24	0.069	0.239
YEL062W	NPR2	nitrogen permease regulator	0.152	0	0.007	0.037	0	0.06	0.123	0.008	0.026	0.008	0	0.111	0.001	0.183
YEL063C	CAN1	amino acid permease	0.152	0	0.007	0.037	0	0.06	0.123	0.008	0.026	0.008	0	0.111	0.001	0.183
YEL064C	YEL064C	similarity to YBL089w	0.01	0.014	0.019	0.081	0.028	0.007	0.128	0.024	0.014	0.013	0.053	0.032	0.048	0.095
YEL065W	SIT1	probable multidrug resistance protein	0.25	0.002	0.488	0.563	0.309	0.437	0.68	0.597	0.742	0.861	0.388	0.598	0.45	0.762
YEL066W	HPA3	histone and other protein acetyltransferase	0.489	0.696	0.557	0.783	0.896	0.513	0.743	0.863	0.54	0.812	0.537	0.555	0.9	0.859
YEL067C	YEL067C	weak similarity to YKL083w	0.25	0.002	0.488	0.563	0.309	0.437	0.68	0.597	0.742	0.861	0.388	0.598	0.45	0.762
YEL068C	YEL068C	hypothetical protein	0.489	0.696	0.557	0.783	0.896	0.513	0.743	0.863	0.54	0.812	0.537	0.555	0.9	0.859
YEL069C	HXT13	high-affinity hexose transporter	0.641	0.822	NaN	0.813	0.85	0.53	0.799	0.929	0.834	0.815	0.914	0.933	0.913	0.802
YEL070W	YEL070W	strong similarity to E.coli D-mannonate oxidoreductase	0.848	0.719	0.841	0.924	0.86	0.752	0.796	0.835	0.799	0.868	0.956	0.923	0.952	0.828
YEL071W	DLD3	D-lactate dehydrogenase	0.43	0	0.043	0.494	0.006	0.059	0.123	0.002	0.214	0.444	0.052	0.16	0.207	0.623
YEL072W	YEL072W	hypothetical protein	0.548	0.415	0.535	0.859	0.967	0.873	0.688	0.73	0.722	NaN	0.542	0.731	0.551	0.645
YEL073C	YEL073C	similarity to YJR108w	0.401	0.482	0.397	0.588	0.625	0.442	0.244	0.272	0.335	0.29	0.667	0.603	0.634	0.54
YEL074W	YEL074W	similarity to subtelomeric encoded proteins	0.818	0.959	0.848	0.691	0.68	0.451	0.732	0.959	0.818	0.728	0.9	0.925	0.87	0.452
YEL075C	YEL075C	strong similarity to subtelomeric encoded proteins	0.818	0.959	0.848	0.691	0.68	0.451	0.732	0.959	0.818	0.728	0.9	0.925	0.87	0.452
YEL076C	#REF!		0.818	0.959	0.848	0.691	0.68	0.451	0.732	0.959	0.818	0.728	0.9	0.925	0.87	0.452
YEL076C-A	#REF!		0.818	0.959	0.848	0.691	0.68	0.451	0.732	0.959	0.818	0.728	0.9	0.925	0.87	0.452
YEL076W-C	#REF!		0.625	0.953	0.797	0.896	0.967	0.96	0.872	0.899	0.91	0.942	0.961	0.949	0.98	0.785
YEL077C	YEL077C	strong similarity to subtelomeric encoded proteins	0.625	0.953	0.797	0.896	0.967	0.96	0.872	0.899	0.91	0.942	0.961	0.949	0.98	0.785
YER001W	MNN1	"alpha-1,3-mannosyltransferase"	0.765	0.001	0.037	0.697	0.01	0.485	0.542	0.093	0.156	0.193	0.049	0.745	0.009	0.614
YER002W	YER002W	weak similarity to chicken microfibril-associated protein	0.011	0.035	0.022	0.165	0.134	0.012	0.069	0.035	0.094	0.037	0	0	0	0
YER003C	PMI40	mannose-6-phosphate isomerase	0.28	0.781	0.579	0.636	0.649	0.713	0.695	0.777	0.699	0.858	0.501	0.651	0.829	0.619
YER004W	YER004W	similarity to hypothetical E.coli and C.elegans proteins	0.28	0.781	0.579	0.636	0.649	0.713	0.695	0.777	0.699	0.858	0.501	0.651	0.829	0.619
YER005W	YND1	Yeast Nucleoside Diphosphatase	0.59	0.733	0.499	0.873	0.565	0.488	0.543	0.662	0.416	0.661	0.523	0.583	0.577	0.676
YER006W	YER006W	similarity to P.polycephalum myosin-related protein mlpA	0.686	0.774	0.735	0.296	0.105	0.461	0.338	0.591	0.572	0.689	0.755	0.411	0.817	0.707
YER007C-A	YER007C-A	strong similarity to C.elegans AF045640 and S.pombe SPBC31F10	0.103	0.054	0.018	0.2	0.227	0.085	0.058	0.059	0.022	0.011	0.03	0.03	0.022	0.053
YER007W	PAC2	involved in the stabilization of microtubles	0.682	NaN	0.783	0.81	0.593	0.188	0.322	0.473	0.707	0.491	0.557	0.601	0.621	0.276
YER008C	SEC3	component of exocyst complex	0.34	0.602	0.466	0.32	0.06	0.261	0.385	0.621	0.541	0.634	0.447	0.342	0.608	0.481
YER009W	NTF2	nuclear transport factor	0.34	0.602	0.466	0.32	0.06	0.261	0.385	0.621	0.541	0.634	0.447	0.342	0.608	0.481
YER010C	YER010C	similarity to L.pneumophila dlpA protein	0.342	0.382	0.173	0.304	0.231	0.096	0.192	0.297	0.314	0.318	0.369	0.294	0.481	0.414
YER011W	TIR1	"cold-shock induced protein of the TIR1P,TIP1P family"	0.895	0.387	0.722	0.894	0.897	0.835	0.735	0.888	0.774	0.907	0.82	0.947	0.883	0.905
YER012W	PRE1	20S proteasome subunit C11(beta4)	0.836	0.821	0.869	0.869	0.592	0.709	0.875	0.821	0.824	0.87	0.637	0.724	0.78	0.933
YER013W	PRP22	pre-mRNA splicing factor	0.002	0	0	0.25	0.303	0.042	0	0	0	0	0.021	0.044	0.164	0.047
YER014W	HEM14	"protoporphyrinogen oxidase, mitochondrial"	0.8	0.89	0.885	0.869	0.81	0.446	0.633	0.894	0.649	0.801	0.81	0.682	0.751	0.724
YER015W	FAA2	long-chain-fatty-acid--CoA ligase	0.582	0.684	0.825	0.626	0.737	0.369	0.44	0.733	0.616	0.711	0.603	0.724	0.756	0.76
YER016W	BIM1	binding to microtubules	0.11	0.188	0.375	0.907	0.934	0.632	0.421	0.669	0.462	0.592	0.573	0.35	0.717	0.435
YER017C	AFG3	protease of the SEC18/CDC48/PAS1 family of ATPases (AAA)	0.916	0.62	0.861	0.387	0.026	0.898	0.867	0.423	0.932	0.931	0.837	0.677	0.89	0.939
YER018C	SPC25	spindle pole body protein	0.048	0.258	0.038	0.695	0.674	0.306	0.075	0.524	0.094	0.067	0.304	NaN	0.286	0.37
YER019C-A	SBH2	ER protein-translocation complex subunit	0.888	0.781	0.711	0.606	0.508	0.971	0.891	0.794	0.93	0.935	0.96	0.928	0.85	0.957
YER019W	ISC1	weak similarity to human and mouse neutral sphingomyelinase	0.048	0.258	0.038	0.695	0.674	0.306	0.075	0.524	0.094	0.067	0.304	NaN	0.286	0.37
YER020W	GPA2	guanine nucleotide-binding regulatory protein	0.888	0.781	0.711	0.606	0.508	0.971	0.891	0.794	0.93	0.935	0.96	0.928	0.85	0.957
YER021W	RPN3	26S proteasome regulatory subunit	0.744	0.477	0.637	0.716	0.753	0.89	0.487	0.592	0.805	0.703	0.707	0.527	0.671	0.698
